epoch,step,train/loss,train/reward,val/reward
0,49,2.9228100776672363,-9.909381866455078,
0,99,0.8425602912902832,-8.35345458984375,
0,149,-1.8512518405914307,-7.73686408996582,
0,195,,,-6.693127155303955
1,199,-21.170761108398438,-7.333559036254883,
1,249,-16.412452697753906,-7.202478408813477,
1,299,-5.949336051940918,-6.925069332122803,
1,349,-4.400577545166016,-6.822291374206543,
1,391,,,-6.473648548126221
2,399,-6.524234294891357,-6.7861833572387695,
2,449,-8.370080947875977,-6.768664836883545,
2,499,-6.248554229736328,-6.747514724731445,
2,549,-2.9608097076416016,-6.601914405822754,
2,587,,,-6.378001689910889
